Geneid	SRR21709664
100287102	0
653635	274
102466751	13
100302278	0
645520	0
79501	0
729737	1
102725121	6
102723897	144
102465909	0
729759	0
100132287	15
105378947	0
101928626	0
102465432	16
81399	0
100133331	52
100288069	19
400728	4
79854	20
643837	494
284593	0
100130417	34
148398	69
26155	4598
339451	755
84069	154
84808	36
57801	683
9636	5878
375790	25788
105369174	0
105378948	5
401934	0
54991	500
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	1
51150	20701
126792	2570
388581	38
118424	2060
6339	176
116983	4973
102465434	0
126789	640
54973	2635
102465435	0
80772	1703
83756	23
1855	6069
102466740	0
54587	19833
54998	4953
81669	5264
148413	612
55052	2334
441869	16
643965	0
102724312	0
64856	35
219293	0
83858	1600
55210	2698
339453	144
29101	4241
643988	668
142678	2991
8510	0
984	1857
728661	2109
8511	3
728642	816
9906	625
65220	2791
2782	22831
105378949	29
163688	11
339456	3
85452	0
2563	0
5590	128
100506504	23
199990	2967
105378592	76
6497	3707
105378594	0
79906	233
100129534	52
11079	7242
5192	1115
9651	0
55229	231
388585	0
115110	0
8764	3
100996583	0
127281	28
79258	0
100287898	0
140625	0
440556	14
63976	76
100422968	0
27237	20
1953	9137
693135	0
127262	7676
49856	571
7161	3
57212	745
148870	4
388588	51
57470	2300
9731	1678
1677	97
339448	598
100133612	47
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	467
8514	1173
26038	739
6146	8337
102724450	13
388591	264
23463	8093
148645	1
390992	0
387509	360
11332	9126
54626	8
83715	3
100422975	0
8718	474
57449	3264
79707	838
80835	70
3104	635
9903	6002
148479	1034
90326	387
55735	1591
100505887	0
23261	818
9341	8665
8863	295
10911	0
3604	0
11315	7835
54206	1786
102724539	0
50651	255
473	4144
102724552	0
2023	121855
102465436	0
100505975	0
765	0
155184	0
6518	18
80045	237
407040	5
9563	4725
80176	1578
100506022	48
84275	532
199953	927
5293	1140
644997	0
101929074	6
22883	11304
56998	786
84328	458
64802	910
100847055	0
105376719	0
116362	2
10277	2270
23095	2987
100422970	0
5226	13084
100526739	0
378708	41
1325	9
1676	1706
5195	1313
54897	17
148345	2
23435	4758
