Geneid	SRR21709659
576	903
100423028	0
90853	1057
8073	6417
10657	3587
55116	459
100847018	0
23633	4040
200081	6249
79140	155
56063	316
55721	59
149069	17
8668	7183
339483	102
84734	83
3932	0
3065	4609
65108	3342
100128071	124
81629	35
55108	4223
728116	0
653121	409
339487	940
5928	2294
81493	1968
57648	2833
8565	4766
64766	795
252995	48
3208	8
113452	2265
127544	884
204	3338
113451	330
55223	439
149076	1244
127550	0
1912	3399
100500853	0
101929464	5
7579	322
114784	371
127540	0
402779	0
84970	2
693137	0
2709	2
127534	0
2707	0
2701	0
113444	2181
58512	12
653160	53
100506144	702
9204	699
79830	271
6421	4864
9202	1631
79932	4153
23154	4013
339488	26
5690	3775
127703	2105
63967	65
192670	710
26523	934
192669	773
27285	10
54936	1784
1296	14124
27095	3303
55700	18805
9967	4289
79729	266
55194	2149
83931	1566
84967	1617
127700	357
64960	1481
1441	0
2899	0
100422898	0
728431	115
80149	441
102465438	0
64769	1253
100847010	2
79753	582
7802	54
29889	1818
284654	0
54955	921
55143	108
284656	4
149175	397
79693	575
127687	5130
4520	766
3633	746
10946	1866
2275	1470
51118	1061
5453	17
100500801	0
339442	2
64121	4022
100527950	9
26292	1
81025	0
54933	46
79647	4742
4725	7462
23499	19035
643314	832
105378950	0
353500	45
728448	75
8761	8761
101929516	7
677834	4
26508	2
84618	0
51440	0
10450	1301
656	14
64064	18
105378951	7
101929536	0
54802	519
4610	49
84879	273
10487	25726
5538	1796
6018	412
127391	0
10269	4500
1298	93
64744	1023
65243	121
339559	177
64789	420
127396	92
9783	101
100130557	26
4802	751
407034	0
407031	0
9132	47
163732	1294
1503	13182
100507178	218
200172	326
22955	671
100132074	13
1907	2
59269	217
2981	0
2980	0
22887	1360
284716	18
84217	62
79717	1597
728621	96
10465	499
4904	36901
149461	0
64175	4731
79078	424
100129924	1
374969	165
114625	663
51058	250
339539	0
6513	8733
440584	39
105378684	2
440585	12
10969	3690
102465439	1
149465	20
128218	0
149466	0
7075	0
4352	6
991	148
64834	6509
102466723	0
112950	766
23334	1403
102465440	0
81888	10
5792	10752
9682	1681
100132774	15
6487	958
101929592	0
102464830	0
9048	2
9670	3767
1802	899
533	7945
8704	6363
149473	226
6536	616
128209	6
105378952	0
55929	927
79033	2170
100874278	11
55182	1578
100847089	0
79639	310
339541	53
26828	2
26830	0
11004	59
6202	19055
26811	70
94161	5
94162	6
94163	4
266675	28
1263	2394
343521	88
149478	1055
8643	72
8891	854
79654	3254
7389	5954
57643	65
400752	20
84842	11
4595	137
114034	160
10420	90
126661	62
25974	251
5052	22619
10327	3804
4678	745
149483	16
60313	2053
728963	5
51249	666
3652	686
23139	4446
8503	860
101929626	3
10103	31
55624	6486
541468	43
8438	37
10489	4501
7388	4799
387338	791
2166	206
729041	37
101929651	0
127343	2
100507423	5
148930	0
8569	799
148932	341
64756	2267
374973	0
100130197	2
9813	3655
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	14
10158	20
6886	2
6491	244
51727	10575
102724077	4
2301	0
84793	164
2306	321
388630	98
391037	2
200010	5
54558	120
84871	0
79656	10
101929721	0
100874313	0
1996	0
63950	0
11124	1322
1031	397
100616189	0
102466656	0
284546	2
26994	8437
22996	143
102724097	0
2060	2069
114883	5131
4898	5705
100313892	0
5865	8180
51060	2808
112970	0
104355143	0
91408	1209
9372	1149
200014	2988
4998	11
84950	430
23318	811
105378722	3
2882	572
348378	0
65260	474
79699	1436
440590	4
55268	1369
6342	4900
100616156	0
100616458	0
100616145	0
127435	1321
6512	1
1376	726
54987	1143
4116	757
100507564	14
7804	1622
163742	0
63948	0
148979	1968
105369175	110
55706	402
54432	1077
1733	0
51668	638
115353	1452
388633	1
9528	16263
127428	391
100616315	0
200008	0
606495	246
51253	6789
23648	3844
619518	25
26027	358
338094	13
374977	2
100527960	0
7268	26
25973	289
55001	0
163747	0
1718	28947
100126514	0
199964	12
7809	0
255738	789
23358	1483
100507634	39
100616272	0
8613	2912
5563	446
199920	0
731	0
732	0
1600	302
101926890	0
115209	423
4070	0
114803	795
3725	9509
100131060	8
101926925	2
729467	0
55277	323
100616409	0
101926944	0
51361	46
1573	98
127795	0
101926964	0
100996570	11
4774	256
645030	0
414927	0
83941	1817
10207	608
100422902	0
100422946	0
54596	0
163782	51
7398	509
85440	1993
27329	2
84938	387
199899	0
100996301	0
27022	0
102464823	0
29929	312
23421	207
84455	241
79469	17
5236	4476
4919	382
101927034	2
148581	4
57685	694
100616338	0
55225	412
3716	6167
101927084	2
105378775	14
100500854	2
406893	0
205	3625
9829	794
54741	5326
3953	450
5142	211
101927139	4
84251	507
100422871	0
200132	6
10022	2
79819	174
57708	1247
23169	960
400757	0
149233	0
3595	12
26135	7452
1647	31132
55970	19982
100289178	30
9077	6556
79971	4686
100302279	0
6121	0
55635	31
101927220	2
57554	4
5301	0
55631	316
9295	4131
81573	1320
11147	486
1491	253
101927244	12
5733	247
100132618	18
9406	2082
406962	4
100852410	15
257194	1854
100852409	0
101927295	0
127255	18
100526835	0
8790	379
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	2644
127253	782
431707	0
204962	2
34	1393
1744	14
5876	2506
692085	2
26805	15
26804	6
4438	20
127247	0
101927342	0
256435	43
81849	5208
102466995	0
10026	2208
26289	771
26009	1252
23032	1749
374986	1342
374987	66
91624	6200
8880	1256
11080	10308
54810	228
149047	0
5737	326
10964	93
10561	274
64123	328
101927412	0
23266	1236
101927434	0
101927498	0
101927587	3
101927560	0
79739	1034
5567	2173
148418	8
391051	0
58511	0
80135	833
2787	2296
100505741	22
1486	833
103695366	0
439927	0
117178	376
23566	36
255231	363
55283	1400
126820	265
100616481	0
84144	508
148423	909
8915	419
646626	8
23576	22342
3491	41470
54680	1495
255631	101
57489	1126
102465842	3
9635	30
1179	0
22802	0
9629	0
105378828	53
51100	4769
9403	7363
9653	1783
339524	0
101927844	0
105378832	0
8543	3170
100505768	0
101927891	6
5586	1483
2959	948
56267	376
494115	312
2635	741
2633	1174
2634	1055
388646	0
115361	103
115362	0
729930	0
163351	8
400759	0
23507	82
84230	92
400761	8
55144	884
105378846	0
492303	14
284695	978
343472	0
84146	921
164045	4
8317	130
7049	637
676	4
253152	435
646817	4
284697	6
23285	86
388649	2
11146	228
79871	389
2672	12
7813	940
6125	15409
388650	1495
6083	0
26782	4
22823	304
50999	3186
343099	81
100131564	222
1810	2345
54874	1252
100126520	4
8412	3330
100129046	0
100126348	0
100189133	5
30836	2009
2730	2815
24	16
9411	1457
5825	1562
2152	104
101928079	13
100616321	0
126969	57
1266	25796
105378862	23
729970	234
199857	589
101928098	0
148534	124
100527978	5
101928118	12
25950	208
440594	0
100996635	0
102723661	0
101928241	0
58155	200
1806	544
100873932	0
100873933	0
400765	76
100616452	21
406928	0
729987	0
51375	1055
163404	0
100129620	2
9890	12
101928270	0
54873	2954
391059	103
178	1056
23443	1379
64645	2952
163786	96
54482	189
127495	17
1629	883
100506007	16
8634	2899
693138	0
8556	134
54112	2
100128787	0
7412	156
2135	1347
148867	1742
51611	576
102606465	180
101928334	0
101928370	4
1901	128
104355286	0
118427	0
94236	0
1301	8198
101928436	7
55599	300
280	151
648740	0
279	1
276	0
277	0
278	0
100129138	1
101928476	0
55170	1009
22854	289
10451	211
102465839	0
100873946	0
29957	1523
148545	0
653149	2
284611	487
113802	151
55119	1404
163479	4
6814	1302
254268	6
642864	0
29899	80
23155	1867
22911	1538
6884	2423
56900	2040
677766	2
127003	0
57535	167
6301	8723
1952	1052
84722	136
343263	8
6272	10838
5686	2986
284612	20
127002	171
284613	806
57463	1217
83873	2
2773	2098
406974	0
2780	21
271	3821
2948	997
2946	1252
2944	1
2949	23
2947	2977
79574	0
1435	1858
10768	5049
85369	2392
257	536
104355139	52
164153	51
388662	670
100873974	2
3749	2440
440600	11
64783	316
9122	1057
10542	4523
101410535	6
84432	0
643160	0
440602	0
3744	0
3737	14
3738	0
963	0
55791	573
128338	1003
10390	1057
79961	31
1117	40
149620	0
27159	0
128344	278
441897	0
5016	81
79084	1825
515	4847
128346	16
57413	0
140	0
100129269	4
5906	1856
55924	620
100506343	6
101928718	2
11218	674
3752	43
100874295	0
100873995	0
643355	15
55917	2126
100422976	3
7482	81
54879	477
829	4412
4343	1205
389	16202
333926	15
284467	6
100996702	64
6566	4397
246182	2
100506392	16
100996251	22
9860	183
643441	0
260425	609
10745	1966
54665	372
100287722	12
26191	22
440603	2
10717	349
64858	196
101928846	4
204851	1555
56944	878
148281	0
51592	1126
10286	1357
163259	75
270	0
4893	1360
7812	23426
80143	1196
6847	0
7252	2
10100	5315
4803	708
81839	997
845	0
4808	2
101928995	2
101928977	0
55356	418
126868	60
476	9910
84852	50
101929023	0
965	411
100616384	0
3321	153
100302117	0
388667	0
914	0
5738	4484
9398	21
101929099	8
8458	638
100126331	0
80263	126
79679	2
104355292	0
10905	2221
100996263	0
54855	226
54834	566
10885	827
200162	14
6913	2
10352	259
104472716	0
101929147	164
51179	0
100874270	0
3284	0
3283	2
128102	0
644242	16
90874	386
26227	2004
3158	0
83998	0
343505	0
11085	0
4853	12587
9554	7158
105378954	15
728841	593
767846	19
100996724	370
101929796	263
101060684	391
100189005	0
101954277	0
653505	0
728855	157
101954264	2
100189257	0
105369199	3
100996721	0
100126488	0
101929798	0
2210	1
100996318	0
337875	43
653820	5
653464	222
100873165	0
647121	19
101929815	0
100189261	0
101954269	0
26863	0
791227	0
105369140	0
388692	0
100189142	0
100189326	0
199882	0
100189356	0
100132417	0
100996713	0
554282	6
100996712	146
101060524	0
730262	0
101954267	0
100189323	0
284565	1440
100189127	0
728945	0
105371215	0
1818	0
645166	217
647135	182
728833	19
101929805	0
102724235	10
103091866	47
645142	0
101954266	6
7214	0
100288142	592
100126510	0
101060254	0
101929780	111
653519	466
5174	28
11126	22
27246	1292
10623	1010
200035	100
10401	1623
102466191	0
148741	151
8515	112
8799	1243
114814	29
9939	2622
128077	1438
84265	763
284615	317
10628	1356
148738	0
100189384	0
100189064	0
100188991	0
100189198	0
101954276	1
101928979	16
100132406	124
388677	430
170688	4
105371242	0
102724558	42
100288805	31
105373468	2
149013	430
728989	2
100189334	0
101447996	0
644861	0
5565	2193
171423	903
2330	72
9557	1346
100289211	0
607	633
51205	605
2702	0
2703	0
51463	216
100034743	3
100189140	0
26864	0
100189193	0
200030	321
101927468	7
100189056	0
100189307	0
100189174	0
100188998	0
100847044	1
101954273	11
102466225	0
26860	0
100132057	10
101954272	2
388685	143
644591	0
25832	816
100996763	188
440672	73
9659	1587
400818	735
653513	99
100996761	93
101060226	499
653598	0
57234	274
644634	0
100189228	0
