Geneid	SRR21709660
100287102	0
653635	212
102466751	5
100302278	0
645520	0
79501	0
729737	0
102725121	1
102723897	181
102465909	1
729759	0
100132287	0
105378947	2
101928626	0
102465432	10
81399	0
100133331	38
100288069	17
400728	10
79854	40
643837	857
284593	2
100130417	222
148398	436
26155	4566
339451	926
84069	184
84808	65
57801	1038
9636	9136
375790	21923
105369174	1
105378948	5
401934	0
54991	479
254099	0
406984	0
406983	0
554210	0
254173	0
8784	6
7293	4
51150	17971
126792	2662
388581	32
118424	2030
6339	229
116983	4361
102465434	0
126789	697
54973	2492
102465435	0
80772	1806
83756	65
1855	6924
102466740	0
54587	14230
54998	4804
81669	5432
148413	639
55052	2534
441869	4
643965	0
102724312	0
64856	31
219293	2
83858	1679
55210	2950
339453	91
29101	4671
643988	804
142678	3379
8510	2
984	1725
728661	1925
8511	11
728642	887
9906	502
65220	3034
2782	22738
105378949	41
163688	9
339456	10
85452	0
2563	0
5590	145
100506504	66
199990	2655
105378592	52
6497	4618
105378594	0
79906	205
100129534	45
11079	7493
5192	892
9651	8
55229	14
388585	0
115110	0
8764	36
100996583	0
127281	25
79258	0
100287898	2
140625	0
440556	4
63976	86
100422968	0
27237	35
1953	6783
693135	0
127262	8908
49856	574
7161	4
57212	840
148870	0
388588	18
57470	2270
9731	1720
1677	134
339448	722
100133612	50
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	627
8514	1258
26038	1114
6146	6822
102724450	25
388591	410
23463	7880
148645	13
390992	0
387509	230
11332	8152
54626	2
83715	7
100422975	0
8718	526
57449	3657
79707	804
80835	47
3104	646
9903	7697
148479	1040
90326	324
55735	1586
100505887	0
23261	934
9341	8128
8863	358
10911	0
3604	2
11315	6758
54206	1434
102724539	0
50651	167
473	4173
102724552	0
2023	117073
102465436	0
100505975	0
765	0
155184	0
6518	28
80045	368
407040	1
9563	3250
80176	1703
100506022	42
84275	512
199953	949
5293	1190
644997	0
101929074	18
22883	12955
56998	759
84328	619
64802	831
100847055	0
105376719	0
116362	2
10277	2297
23095	2765
100422970	0
5226	11957
100526739	0
378708	30
1325	10
1676	1732
5195	1324
54897	50
148345	0
23435	4283
10747	44
6723	8168
5394	1383
2475	2641
100873935	0
10218	40
29914	563
57540	6
101929181	0
26232	1135
93611	1126
26270	663
10459	743
374946	24
57085	2195
284498	0
102724659	0
4524	1284
1185	738
100379251	8
4878	10
4879	2
26829	0
90231	5861
5351	18065
9927	5569
60672	760
102466982	0
943	12
102465836	0
7133	2
100616438	0
55187	1744
677885	8
9249	2729
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1297
7799	839
23254	490
200197	10
55092	623
727684	0
114827	2
101927417	2
79180	2899
11330	2
63036	0
51032	7
842	473
23341	1427
79814	255
84301	122
6248	69
23207	5578
284723	75
388595	0
54751	7319
440567	146
729614	60
23013	1208
7709	874
101928566	0
149563	6
27129	2478
1187	4
1188	0
348487	65
1969	6686
128272	88
101927546	2
79363	218
54455	886
26099	7084
374955	2
55707	2688
114819	216
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	505
84809	292
11209	62
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	19
100500876	0
100189298	0
7193	0
791226	0
9696	1137
26870	0
4237	2026
23400	8117
6390	2319
11240	12
29943	192
51702	12
100616188	0
23569	0
353238	0
55920	1809
55160	1521
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	1332
100616120	0
100302276	0
126917	456
23352	7108
23065	6092
51154	1494
246181	39
22977	18
100506730	61
8574	2488
54896	2246
832	15289
100532736	0
440574	2320
644068	27
4681	85
3362	0
255104	299
54546	0
23252	619
30814	0
5320	0
5322	0
26279	0
64600	2
391013	0
127733	6
101928017	0
127731	1
339505	6
55450	3587
79594	2434
163933	0
978	20
65018	1800
102464833	0
100861548	183
1650	10953
57576	143
400745	2005
50809	4038
8672	5974
100302155	0
1889	8983
100506801	6
84224	240
249	20
5909	396
84196	1837
401944	29
3339	27381
23436	0
10136	0
101928043	2
29092	195
998	8885
54361	16
100616433	0
9923	898
2046	0
102466615	3
712	0
714	0
713	0
2048	5066
100616391	0
100422914	0
646262	0
729059	0
23028	1822
100422866	0
100616177	0
7798	1947
3352	22
100996511	26
10236	3231
80818	315
148898	28
6920	229
55616	1550
1870	12
101928163	0
3399	11284
259283	0
6135	10384
6924	2739
100506963	1
57095	3174
11313	3360
2582	1011
3155	1689
2517	1211
1269	0
100616492	0
55629	1614
10772	2404
127294	2
58985	0
163702	2
284632	0
57822	2
90529	627
57185	7466
100750325	1
11123	387
100506985	79
400746	0
10250	2088
25932	25943
864	0
102465437	0
100616365	0
25949	1947
57035	1646
6007	21
23585	3048
6006	61
55219	1602
26119	3064
57134	1862
57190	6998
56181	1115
646471	103
79000	38
164091	1685
3925	1135
100500808	0
5051	1154
2134	1064
7780	9
105376910	0
84676	25
149420	96
79927	0
105376887	0
51042	1014
10256	14
378807	0
101928303	10
64793	296
83442	27737
91544	342
1043	0
55057	8
257101	0
79727	0
79947	3509
101928324	14
3151	2983
6195	157
100302190	0
101928728	27
8289	2307
55650	514
84243	2334
2810	2
54707	766
63906	371
10726	7408
8431	0
126695	0
388610	1840
115572	18
6548	3834
23038	2901
84065	1675
644961	13
100887744	0
84958	16
9064	2309
8547	0
388611	0
2827	66
10163	3164
27245	1838
2268	0
2537	30198
199870	388
23673	3130
5511	1386
677774	0
9473	222
6118	1431
27293	2
55113	602
2140	932
5724	10
22826	3955
93974	6348
83667	816
54797	710
65979	1286
1104	600
8420	628
6080	62
26768	47
54952	484
85028	143
692212	3
677838	31
677825	6
692073	11
115273	16
6883	741
26824	0
10691	298
105376911	0
51441	2795
4985	0
2035	1003
399474	155
6429	1986
51102	700
10076	400
101928460	2
101929406	0
4146	0
100129196	22
7805	10
100616164	0
400748	0
9672	9590
9698	2758
692234	0
692235	1
692200	0
79570	16
9410	616
51538	1589
2170	791
347735	7561
149086	0
284551	0
64129	237
3061	1
553115	2159
1307	1407
576	1316
100423028	0
90853	4109
8073	8022
10657	3788
55116	546
100847018	0
23633	4272
200081	5498
79140	136
56063	255
55721	70
149069	24
8668	6205
339483	192
84734	53
3932	0
3065	4649
65108	3914
100128071	61
81629	38
55108	4102
728116	0
653121	186
339487	768
5928	1602
81493	2351
57648	3611
8565	5282
64766	608
252995	34
3208	6
113452	1990
127544	845
204	3644
113451	262
55223	530
149076	547
127550	0
1912	3759
100500853	3
101929464	0
7579	313
114784	639
127540	0
402779	0
84970	4
693137	0
2709	11
127534	4
2707	0
2701	2
113444	1512
58512	2
653160	71
100506144	848
9204	777
79830	330
6421	4324
9202	1560
79932	4867
23154	5169
339488	51
5690	4937
127703	2098
63967	193
192670	506
26523	1016
192669	607
27285	6
54936	1815
1296	1923
27095	2852
55700	18446
9967	3994
79729	343
55194	3923
83931	1851
84967	1454
127700	289
64960	1235
1441	0
2899	0
100422898	0
728431	100
80149	208
102465438	2
64769	1034
100847010	3
79753	712
7802	148
29889	1768
284654	0
54955	643
55143	198
284656	4
149175	229
79693	514
127687	3803
4520	712
3633	370
10946	1901
2275	675
51118	1049
5453	0
100500801	0
339442	0
64121	4906
100527950	2
26292	4
81025	0
54933	52
79647	4759
4725	6845
23499	16723
643314	1140
105378950	0
353500	54
728448	58
8761	6990
101929516	6
677834	1
26508	12
84618	0
51440	0
10450	1051
656	6
64064	44
105378951	0
101929536	0
54802	544
4610	33
84879	227
10487	27486
5538	1993
6018	407
127391	0
10269	4500
1298	40
64744	2442
65243	58
339559	123
64789	291
127396	71
9783	37
100130557	29
4802	647
407034	0
407031	0
9132	8
163732	634
1503	3250
100507178	13
200172	23
22955	725
100132074	4
1907	3
59269	231
2981	0
2980	2
22887	1230
284716	18
84217	22
79717	1198
728621	241
10465	338
4904	33342
149461	0
64175	6117
79078	412
100129924	4
374969	188
114625	631
51058	301
339539	4
6513	13473
440584	22
105378684	1
440585	1
10969	2654
102465439	0
149465	19
128218	0
149466	0
7075	0
4352	1
991	294
64834	6918
102466723	0
112950	748
23334	1128
102465440	0
81888	4
5792	8256
9682	1644
100132774	31
6487	840
101929592	0
102464830	0
9048	17
9670	4210
1802	646
533	8173
8704	5897
149473	374
6536	180
128209	8
105378952	0
55929	870
79033	1477
100874278	9
55182	1077
100847089	0
79639	230
339541	85
26828	0
26830	2
11004	228
6202	13704
26811	44
