Geneid	SRR21709662
576	1253
100423028	0
90853	1485
8073	8928
10657	4621
55116	502
100847018	0
23633	4413
200081	6302
79140	262
56063	271
55721	66
149069	7
8668	8509
339483	204
84734	134
3932	4
3065	5818
65108	6112
100128071	61
81629	20
55108	3952
728116	0
653121	330
339487	929
5928	2573
81493	2023
57648	2886
8565	4872
64766	685
252995	30
3208	4
113452	2026
127544	990
204	4052
113451	236
55223	419
149076	590
127550	0
1912	4198
100500853	2
101929464	0
7579	321
114784	1474
127540	0
402779	0
84970	4
693137	0
2709	14
127534	2
2707	0
2701	2
113444	2279
58512	2
653160	56
100506144	827
9204	753
79830	304
6421	6252
9202	1775
79932	4976
23154	4857
339488	30
5690	5375
127703	2359
63967	432
192670	650
26523	749
192669	706
27285	4
54936	2176
1296	10902
27095	3605
55700	23731
9967	5384
79729	332
55194	2682
83931	1665
84967	1697
127700	258
64960	1472
1441	0
2899	0
100422898	0
728431	194
80149	248
102465438	0
64769	1450
100847010	5
79753	699
7802	238
29889	2192
284654	6
54955	832
55143	362
284656	2
149175	257
79693	596
127687	4745
4520	723
3633	433
10946	2446
2275	1030
51118	1398
5453	6
100500801	0
339442	0
64121	5336
100527950	4
26292	2
81025	0
54933	52
79647	4357
4725	8522
23499	14072
643314	700
105378950	0
353500	28
728448	96
8761	9010
101929516	0
677834	3
26508	0
84618	0
51440	0
10450	1322
656	4
64064	6
105378951	0
101929536	0
54802	582
4610	40
84879	208
10487	32881
5538	1916
6018	610
127391	0
10269	5243
1298	23
64744	1232
65243	63
339559	113
64789	506
127396	98
9783	80
100130557	15
4802	771
407034	0
407031	0
9132	21
163732	829
1503	5082
100507178	22
200172	60
22955	804
100132074	55
1907	3
59269	183
2981	0
2980	0
22887	1280
284716	45
84217	48
79717	1403
728621	68
10465	516
4904	47199
149461	0
64175	7062
79078	507
100129924	1
374969	239
114625	816
51058	305
339539	0
6513	16218
440584	67
105378684	5
440585	6
10969	3765
102465439	0
149465	27
128218	0
149466	0
7075	0
4352	0
991	579
64834	7858
102466723	0
112950	916
23334	1117
102465440	0
81888	7
5792	11580
9682	1768
100132774	27
6487	777
101929592	0
102464830	0
9048	4
9670	3716
1802	762
533	9490
8704	7069
149473	266
6536	221
128209	6
105378952	0
55929	991
79033	1831
100874278	8
55182	1615
100847089	0
79639	293
339541	69
