Geneid	SRR21709665
100287102	0
653635	332
102466751	7
100302278	0
645520	0
79501	0
729737	133
102725121	3
102723897	278
102465909	1
729759	0
100132287	20
105378947	0
101928626	2
102465432	17
81399	0
100133331	41
100288069	9
400728	0
79854	25
643837	1157
284593	0
100130417	44
148398	23
26155	3416
339451	409
84069	22
84808	7
57801	1013
9636	2209
375790	23163
105369174	3
105378948	26
401934	0
54991	313
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	1
51150	24395
126792	2705
388581	27
118424	1921
6339	323
116983	4453
102465434	0
126789	862
54973	3146
102465435	0
80772	1619
83756	18
1855	5927
102466740	0
54587	25706
54998	3771
81669	4636
148413	684
55052	2411
441869	302
643965	0
102724312	6
64856	945
219293	1
83858	690
55210	1609
339453	346
29101	4592
643988	258
142678	3664
8510	1
984	2392
728661	4051
8511	4
728642	832
9906	708
65220	2843
2782	16169
105378949	9
163688	19
339456	10
85452	0
2563	0
5590	38
100506504	27
199990	2819
105378592	84
6497	6415
105378594	0
79906	270
100129534	117
11079	4728
5192	1033
9651	2
55229	78
388585	0
115110	0
8764	0
100996583	0
127281	51
79258	0
100287898	2
140625	0
440556	94
63976	927
100422968	0
27237	0
1953	2576
693135	0
127262	5592
49856	487
7161	4
57212	1375
148870	0
388588	8
57470	3308
9731	2375
1677	150
339448	758
100133612	21
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	343
8514	1049
26038	498
6146	13607
102724450	8
388591	249
23463	9100
148645	2
390992	0
387509	1427
11332	3269
54626	0
83715	4
100422975	0
8718	248
57449	1744
79707	1175
80835	0
3104	525
9903	26876
148479	1904
90326	531
55735	1320
100505887	0
23261	1166
9341	8814
8863	1258
10911	0
3604	0
11315	7495
54206	1786
102724539	0
50651	437
473	10034
102724552	0
2023	80514
102465436	1
100505975	1
765	0
155184	0
6518	4
80045	67
407040	1
9563	4446
80176	684
100506022	106
84275	431
199953	837
5293	1169
644997	0
101929074	192
22883	13411
56998	710
84328	735
64802	782
100847055	0
105376719	0
116362	2
10277	4017
23095	3228
100422970	0
5226	24689
100526739	0
378708	37
1325	6
1676	1582
5195	1347
54897	102
148345	6
23435	4654
10747	53
6723	5405
5394	1839
2475	2977
100873935	0
10218	396
29914	966
57540	0
101929181	0
26232	1001
93611	2202
26270	708
10459	1127
374946	97
57085	1424
284498	0
102724659	0
4524	1983
1185	1392
100379251	8
4878	10
4879	0
26829	0
90231	6400
5351	10416
9927	7132
60672	983
102466982	0
943	4
102465836	0
7133	0
100616438	0
55187	2012
677885	2
9249	2306
102466722	0
343066	0
126767	0
93190	0
390999	0
65121	2
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	11
7799	2247
23254	384
200197	2
55092	431
727684	0
114827	0
101927417	0
79180	3240
11330	0
63036	0
51032	6
842	503
23341	1152
79814	23
84301	157
6248	72
23207	6915
284723	56
388595	0
54751	7597
440567	113
729614	169
23013	2071
7709	903
101928566	0
149563	0
27129	4775
1187	27
1188	19
348487	53
1969	3161
128272	33
101927546	12
79363	447
54455	1205
26099	7416
374955	0
55707	2865
114819	181
26871	0
100126512	2
100126517	0
102724970	0
100133301	0
7195	0
55672	488
84809	458
11209	277
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	18
100500876	0
100189298	0
7193	0
791226	0
9696	1531
26870	0
4237	0
23400	3849
6390	1817
11240	0
29943	0
51702	0
100616188	0
23569	0
353238	0
55920	1594
55160	4797
81569	4
101927876	0
84966	19
127707	0
5081	0
80834	0
8659	2637
100616120	0
100302276	0
126917	869
23352	9780
23065	2839
51154	1291
246181	19
22977	39
100506730	158
8574	3826
54896	1095
832	12612
100532736	0
440574	1670
644068	5
4681	93
3362	2
255104	1149
54546	0
23252	186
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	0
101928017	0
127731	0
339505	10
55450	9086
79594	3046
163933	4
978	6
65018	2234
102464833	0
100861548	164
1650	9417
57576	180
400745	1110
50809	7694
8672	7386
100302155	0
1889	5374
100506801	6
84224	561
249	168
5909	158
84196	2386
401944	88
3339	46712
23436	0
10136	0
101928043	13
29092	362
998	8759
54361	8
100616433	0
9923	1638
2046	0
102466615	0
712	0
714	0
713	0
2048	256
100616391	0
100422914	0
646262	0
729059	0
23028	2279
100422866	0
100616177	0
7798	2164
3352	0
100996511	40
10236	4101
80818	671
148898	132
6920	1566
55616	2180
1870	12
101928163	0
3399	1921
259283	0
6135	16614
6924	1490
100506963	53
57095	1863
11313	2067
2582	612
3155	2404
2517	1878
1269	0
100616492	0
55629	2923
10772	2636
127294	0
58985	0
163702	4
284632	0
57822	0
90529	641
57185	6566
100750325	2
11123	269
100506985	77
400746	0
10250	3090
25932	23207
864	0
102465437	0
100616365	0
25949	3060
57035	1279
6007	33
23585	2372
6006	10
55219	1211
26119	1403
57134	4187
57190	7543
56181	2807
646471	203
79000	60
164091	1990
3925	2563
100500808	0
5051	910
2134	3028
7780	2
105376910	0
84676	490
149420	214
79927	0
105376887	0
51042	836
10256	9
378807	0
101928303	10
64793	582
83442	9886
91544	640
1043	2
55057	0
257101	0
79727	0
79947	2453
101928324	4
3151	4665
6195	427
100302190	0
101928728	62
8289	3349
55650	631
84243	1136
2810	4
54707	857
63906	801
10726	4946
8431	0
126695	0
388610	4260
115572	642
6548	3038
23038	5454
84065	2261
644961	12
100887744	0
84958	11
9064	3467
8547	8
388611	0
2827	7
10163	7191
27245	4629
2268	0
2537	28790
199870	534
23673	1913
5511	1763
677774	0
9473	56
6118	1518
27293	36
55113	556
2140	814
5724	17
22826	4296
93974	4045
83667	1379
54797	759
65979	1446
1104	1323
8420	742
6080	25
26768	20
54952	781
85028	320
692212	13
677838	33
677825	11
692073	20
115273	31
6883	716
26824	9
10691	318
105376911	0
51441	3379
4985	0
2035	1579
399474	1760
6429	3566
51102	852
10076	3328
101928460	0
101929406	0
4146	0
100129196	19
7805	0
100616164	0
400748	0
9672	8130
9698	3914
692234	0
692235	2
692200	0
79570	8
9410	1042
51538	1616
2170	4176
347735	1633
149086	0
284551	0
64129	6232
3061	0
553115	2796
1307	223
576	1620
100423028	0
90853	266
8073	6660
10657	5089
55116	711
100847018	0
23633	5508
200081	7337
79140	232
56063	162
55721	91
149069	6
8668	6247
339483	389
84734	180
3932	0
3065	4900
65108	1936
100128071	71
81629	41
55108	3484
728116	4
653121	574
339487	634
5928	3049
81493	4212
57648	5943
8565	5287
64766	738
252995	47
3208	28
113452	2687
127544	906
204	3020
113451	113
55223	246
149076	1516
127550	0
1912	4943
100500853	0
101929464	0
7579	387
114784	419
127540	0
402779	0
84970	18
693137	0
2709	2
127534	0
2707	0
2701	0
113444	1446
58512	0
653160	70
100506144	762
9204	813
79830	301
6421	4983
9202	2076
79932	3870
23154	6795
339488	16
5690	3437
127703	3518
63967	72
192670	727
26523	1269
192669	559
27285	28
54936	2045
1296	48830
27095	3502
55700	16928
9967	6345
79729	175
55194	5109
83931	1464
84967	1701
127700	434
64960	1446
1441	0
2899	0
100422898	0
728431	88
80149	232
102465438	0
64769	2335
100847010	4
79753	895
7802	662
29889	1416
284654	0
54955	760
55143	52
284656	0
149175	316
79693	307
127687	3955
4520	824
3633	1052
10946	2763
2275	2054
51118	1415
5453	0
100500801	0
339442	0
64121	4314
100527950	2
26292	0
81025	0
54933	44
79647	3512
4725	5242
23499	20234
643314	803
105378950	0
353500	18
728448	111
8761	11016
101929516	4
677834	0
26508	0
84618	0
51440	0
10450	1281
656	10
64064	14
105378951	0
101929536	0
54802	466
4610	104
84879	21
10487	19007
5538	1787
6018	708
127391	0
10269	4617
1298	1416
64744	2423
65243	83
339559	173
64789	426
127396	104
9783	692
100130557	16
4802	1100
407034	0
407031	1
9132	276
163732	997
1503	3432
100507178	38
200172	35
22955	2115
100132074	185
1907	8
59269	160
2981	0
2980	0
22887	1346
284716	6
84217	80
79717	1492
728621	73
10465	447
4904	25590
149461	0
64175	1910
79078	388
100129924	0
374969	289
114625	1616
51058	311
339539	0
6513	13227
440584	192
105378684	9
440585	2
10969	2190
102465439	0
149465	14
128218	0
149466	0
7075	0
4352	54
991	26
64834	3807
102466723	0
112950	656
23334	1765
102465440	0
81888	22
5792	6234
9682	2035
100132774	5
6487	1071
101929592	0
102464830	0
9048	5
9670	3626
1802	621
533	3260
8704	5872
149473	277
6536	836
128209	2
105378952	0
55929	911
79033	1941
100874278	14
55182	3425
100847089	0
79639	471
339541	77
26828	3
26830	0
11004	85
6202	33752
26811	98
94161	2
94162	4
94163	23
266675	19
1263	1137
343521	25
149478	375
8643	322
8891	970
79654	4575
7389	5509
57643	450
400752	14
84842	18
4595	350
114034	286
10420	414
126661	24
25974	163
5052	19595
10327	3157
4678	1212
149483	14
60313	3205
728963	0
51249	838
3652	761
23139	4459
8503	1387
101929626	6
10103	14
55624	3459
541468	72
8438	58
10489	5872
7388	3755
387338	758
2166	72
729041	19
101929651	0
127343	2
100507423	0
148930	0
8569	815
148932	669
64756	2288
374973	0
100130197	0
9813	3772
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	16
10158	0
6886	0
6491	265
51727	5148
102724077	5
2301	2
84793	574
2306	1807
388630	4
391037	0
200010	3
54558	489
84871	2
79656	64
101929721	0
100874313	0
1996	0
63950	6
11124	2197
1031	1403
100616189	0
102466656	0
284546	0
26994	5957
22996	299
102724097	0
2060	3065
114883	4475
4898	4540
100313892	0
5865	7191
51060	1701
112970	0
104355143	0
91408	1661
9372	1340
200014	3140
4998	50
84950	563
23318	1101
105378722	3
2882	173
348378	0
65260	535
79699	1858
440590	0
55268	1174
6342	3571
100616156	0
100616458	0
100616145	0
127435	1300
6512	9
1376	585
54987	1578
4116	794
100507564	20
7804	701
163742	0
63948	0
148979	1460
105369175	154
55706	400
54432	843
1733	2
51668	662
115353	1285
388633	0
9528	12261
127428	339
100616315	0
200008	0
606495	314
51253	4181
23648	2333
619518	28
26027	214
338094	11
374977	1
100527960	0
7268	17
25973	377
55001	0
163747	0
1718	18022
100126514	0
199964	12
7809	0
255738	195
23358	1906
100507634	20
100616272	0
8613	18110
5563	724
199920	0
731	0
732	0
1600	5
101926890	0
115209	453
4070	4
114803	735
3725	4918
100131060	5
101926925	14
729467	2
55277	413
100616409	0
101926944	0
51361	8
1573	56
127795	0
101926964	0
100996570	0
4774	449
645030	0
414927	0
83941	859
10207	1174
100422902	0
100422946	0
54596	0
163782	0
7398	1116
85440	2967
27329	0
84938	317
199899	0
100996301	2
27022	0
102464823	0
29929	174
23421	406
84455	337
79469	12
5236	4291
4919	724
101927034	0
148581	0
57685	390
100616338	0
55225	760
3716	5608
101927084	1
105378775	4
100500854	0
406893	0
205	1738
9829	656
54741	6360
3953	768
5142	504
101927139	0
84251	349
100422871	0
200132	0
10022	4
79819	159
57708	1978
23169	722
400757	0
149233	1
3595	8
26135	9010
1647	10766
55970	37597
100289178	73
9077	133
79971	7405
100302279	0
6121	4
55635	36
101927220	2
57554	6
5301	0
55631	353
9295	3784
81573	1543
11147	586
1491	229
101927244	0
5733	0
100132618	12
9406	1551
406962	2
100852410	24
257194	683
100852409	0
101927295	0
127255	7
100526835	0
8790	313
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	2196
127253	916
431707	0
204962	0
34	1251
1744	32
5876	1629
692085	0
26805	0
26804	2
4438	12
127247	0
101927342	0
256435	94
81849	5430
102466995	0
10026	2157
26289	2298
26009	1895
23032	4249
374986	1139
374987	18
91624	4875
8880	1674
11080	2523
54810	44
149047	0
5737	440
10964	477
10561	448
64123	0
101927412	0
23266	1322
101927434	0
101927498	0
101927587	0
101927560	0
79739	376
5567	2642
148418	6
391051	0
58511	0
80135	919
2787	1937
100505741	8
1486	870
103695366	0
439927	0
117178	706
23566	8
255231	745
55283	1328
126820	391
100616481	4
84144	367
148423	447
8915	396
646626	10
23576	11451
3491	11432
54680	1110
255631	280
57489	311
102465842	0
9635	68
1179	0
22802	0
9629	0
105378828	4
51100	3146
9403	3898
9653	1584
339524	2
101927844	0
105378832	0
8543	1058
100505768	0
101927891	0
5586	1987
2959	640
56267	1047
494115	650
2635	1734
2633	2136
2634	7829
388646	0
115361	15
115362	1
729930	0
163351	2
400759	6
23507	124
84230	127
400761	14
55144	572
105378846	0
492303	36
284695	813
343472	0
84146	799
164045	0
8317	74
7049	4981
676	0
253152	317
646817	4
284697	33
23285	164
388649	0
11146	208
79871	267
2672	6
7813	1038
6125	26983
388650	1723
6083	0
26782	5
22823	215
50999	1954
343099	87
100131564	239
1810	2003
54874	1798
100126520	0
8412	2789
100129046	0
100126348	3
100189133	3
30836	1908
2730	3439
24	6
9411	3747
5825	2080
2152	48
101928079	2
100616321	0
126969	60
1266	11701
105378862	44
729970	392
199857	322
101928098	6
148534	195
100527978	9
101928118	11
25950	182
440594	0
100996635	0
102723661	0
101928241	0
58155	420
1806	2240
100873932	2
100873933	0
400765	25
100616452	7
406928	0
729987	0
51375	1240
163404	0
100129620	0
9890	14
101928270	1
54873	2271
391059	176
178	1645
23443	1028
64645	3187
163786	83
54482	151
127495	21
1629	1293
100506007	39
8634	1237
693138	0
8556	124
54112	4
100128787	0
7412	6
2135	936
148867	1167
51611	1059
102606465	147
101928334	0
101928370	10
1901	380
104355286	0
118427	0
94236	0
1301	6127
101928436	10
55599	450
280	163
648740	5
279	1
276	0
277	8
278	0
100129138	0
101928476	0
55170	1260
22854	123
10451	213
102465839	0
100873946	0
29957	1022
148545	0
653149	0
284611	992
113802	29
55119	1372
163479	0
6814	1485
254268	8
642864	0
29899	422
23155	1788
22911	1521
6884	472
56900	1979
677766	16
127003	0
57535	191
6301	9933
1952	1111
84722	205
343263	4
6272	17750
5686	2695
284612	217
127002	296
284613	990
57463	1229
83873	0
2773	2230
406974	0
2780	20
271	4485
2948	2046
2946	1593
2944	6
2949	1458
2947	3405
79574	2
1435	2277
10768	6130
85369	2279
257	393
104355139	2
164153	0
388662	1143
100873974	0
3749	539
440600	0
64783	344
9122	1097
10542	3208
101410535	3
84432	2
643160	0
440602	0
3744	0
3737	2
3738	0
963	0
55791	428
128338	1627
10390	1135
79961	0
1117	52
149620	0
27159	0
128344	432
441897	0
5016	53
79084	981
515	4533
128346	11
57413	0
140	0
100129269	21
5906	1470
55924	1142
100506343	25
101928718	6
11218	598
3752	6
100874295	0
100873995	0
643355	0
55917	2307
100422976	2
7482	247
54879	716
829	3381
4343	2541
389	9727
333926	20
284467	0
100996702	9
6566	1829
246182	0
100506392	24
100996251	53
9860	268
643441	0
260425	1184
10745	959
54665	624
100287722	7
26191	0
