Geneid	SRR21709666
100287102	4
653635	325
102466751	24
100302278	0
645520	1
79501	0
729737	3
102725121	0
102723897	309
102465909	1
729759	0
100132287	3
105378947	0
101928626	0
102465432	13
81399	0
100133331	30
100288069	17
400728	37
79854	36
643837	908
284593	0
100130417	276
148398	524
26155	2919
339451	894
84069	83
84808	21
57801	890
9636	3308
375790	27698
105369174	0
105378948	0
401934	0
54991	594
254099	0
406984	0
406983	0
554210	0
254173	0
8784	0
7293	2
51150	22300
126792	2469
388581	23
118424	1794
6339	421
116983	5216
102465434	0
126789	631
54973	2689
102465435	0
80772	1559
83756	40
1855	4729
102466740	0
54587	29789
54998	4179
81669	6656
148413	559
55052	2190
441869	12
643965	0
102724312	0
64856	114
219293	3
83858	1063
55210	2005
339453	228
29101	5018
643988	684
142678	3758
8510	0
984	1691
728661	3242
8511	4
728642	833
9906	663
65220	2498
2782	13533
105378949	17
163688	36
339456	9
85452	0
2563	0
5590	130
100506504	47
199990	2793
105378592	35
6497	4990
105378594	5
79906	259
100129534	97
11079	4823
5192	986
9651	1
55229	4
388585	0
115110	1
8764	21
100996583	0
127281	132
79258	2
100287898	3
140625	0
440556	21
63976	300
100422968	0
27237	4
1953	2428
693135	0
127262	5479
49856	436
7161	4
57212	1195
148870	2
388588	39
57470	2192
9731	1427
1677	105
339448	565
100133612	19
728716	0
284661	0
55966	0
100616489	0
100616421	0
261734	424
8514	1619
26038	100
6146	9441
102724450	15
388591	259
23463	7066
148645	2
390992	0
387509	810
11332	2580
54626	0
83715	5
100422975	0
8718	316
57449	1726
79707	746
80835	3
3104	580
9903	16150
148479	1504
90326	471
55735	984
100505887	0
23261	1150
9341	8019
8863	1040
10911	0
3604	4
11315	7227
54206	1620
102724539	0
50651	280
473	5988
102724552	0
2023	80443
102465436	0
100505975	0
765	0
155184	2
6518	20
80045	74
407040	4
9563	4532
80176	2405
100506022	142
84275	400
199953	645
5293	958
644997	0
101929074	64
22883	13877
56998	635
84328	557
64802	709
100847055	0
105376719	0
116362	0
10277	3528
23095	2199
100422970	0
5226	56052
100526739	0
378708	38
1325	2
1676	1251
5195	1005
54897	9
148345	4
23435	4290
10747	77
6723	5249
5394	1552
2475	2376
100873935	0
10218	125
29914	756
57540	5
101929181	0
26232	416
93611	1658
26270	581
10459	943
374946	56
57085	1683
284498	0
102724659	0
4524	2099
1185	1717
100379251	1
4878	5
4879	0
26829	0
90231	4700
5351	15999
9927	4994
60672	929
102466982	0
943	4
102465836	0
7133	61
100616438	0
55187	1616
677885	0
9249	2402
102466722	3
343066	0
126767	0
93190	0
390999	0
65121	0
440560	0
343069	0
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
102724742	0
101929983	0
649330	0
441873	0
649324	0
440563	0
645354	0
645359	0
101060301	0
343070	0
400736	0
391003	0
343068	0
391002	0
645382	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	0
10630	1835
7799	1130
23254	965
200197	6
55092	762
727684	0
114827	14
101927417	3
79180	2540
11330	0
63036	0
51032	4
842	505
23341	1354
79814	120
84301	107
6248	61
23207	11328
284723	248
388595	0
54751	4770
440567	108
729614	93
23013	1926
7709	1128
101928566	0
149563	0
27129	2253
1187	6
1188	29
348487	88
1969	3606
128272	78
101927546	4
79363	338
54455	746
26099	6670
374955	3
55707	2389
114819	202
26871	0
100126512	0
100126517	0
102724970	0
100133301	0
7195	0
55672	353
84809	442
11209	108
26869	0
729574	0
100126533	0
284729	0
100189045	0
102723383	0
6060	0
11223	12
100500876	0
100189298	0
7193	0
791226	0
9696	1317
26870	0
4237	1274
23400	2424
6390	1601
11240	0
29943	0
51702	0
100616188	0
23569	0
353238	0
55920	1572
55160	2510
81569	0
101927876	0
84966	0
127707	0
5081	0
80834	0
8659	2049
100616120	0
100302276	0
126917	430
23352	7553
23065	3684
51154	1050
246181	15
22977	21
100506730	145
8574	3199
54896	1617
832	10660
100532736	0
440574	1467
644068	8
4681	55
3362	4
255104	660
54546	0
23252	384
30814	0
5320	0
5322	0
26279	0
64600	0
391013	0
127733	2
101928017	0
127731	0
339505	0
55450	3349
79594	2019
163933	2
978	3
65018	1926
102464833	0
100861548	187
1650	12440
57576	133
400745	2310
50809	5649
8672	6587
100302155	0
1889	7487
100506801	3
84224	510
249	33
5909	79
84196	1867
401944	63
3339	22419
23436	0
10136	0
101928043	19
29092	351
998	7385
54361	25
100616433	0
9923	1164
2046	2
102466615	0
712	0
714	0
713	4
2048	721
100616391	0
100422914	0
646262	0
729059	1
23028	1813
100422866	0
100616177	0
7798	1713
3352	6
100996511	42
10236	3367
80818	658
148898	101
6920	842
55616	2123
1870	21
101928163	0
3399	6919
259283	0
6135	15623
6924	1616
100506963	17
57095	3261
11313	2523
2582	560
3155	2226
2517	1561
1269	0
100616492	0
55629	2311
10772	2433
127294	1
58985	0
163702	2
284632	0
57822	4
90529	385
57185	3379
100750325	0
11123	184
100506985	50
400746	0
10250	2245
25932	17553
864	0
102465437	0
100616365	0
25949	2446
57035	1935
6007	13
23585	1776
6006	46
55219	1068
26119	1762
57134	5498
57190	5609
56181	1355
646471	148
79000	33
164091	1482
3925	1912
100500808	0
5051	566
2134	429
7780	4
105376910	0
84676	73
149420	162
79927	0
105376887	0
51042	867
10256	3
378807	0
101928303	8
64793	358
83442	26244
91544	461
1043	0
55057	0
257101	0
79727	2
79947	2892
101928324	14
3151	5430
6195	159
100302190	0
101928728	38
8289	2205
55650	681
84243	1354
2810	5
54707	752
63906	667
10726	4470
8431	2
126695	1
388610	1309
115572	85
6548	2790
23038	3597
84065	2065
644961	9
100887744	0
84958	4
9064	2158
8547	6
388611	0
2827	23
10163	5229
27245	3913
2268	0
2537	18316
199870	511
23673	1784
5511	1419
677774	0
9473	105
6118	1811
27293	10
55113	562
2140	683
5724	10
22826	3528
93974	4341
83667	1372
54797	705
65979	939
1104	1224
8420	491
6080	16
26768	12
54952	551
85028	169
692212	4
677838	33
677825	9
692073	12
115273	82
6883	874
26824	0
10691	258
105376911	2
51441	2860
4985	0
2035	1668
399474	673
6429	2598
51102	543
10076	1870
101928460	4
101929406	0
4146	19
100129196	6
7805	10
100616164	0
400748	0
9672	8001
9698	2411
692234	0
692235	0
692200	0
79570	20
9410	787
51538	1280
2170	10872
347735	2490
149086	1
284551	2
64129	906
3061	5
553115	2440
1307	1326
576	1463
100423028	0
90853	511
8073	8647
10657	3968
55116	831
100847018	0
23633	3300
200081	5334
79140	346
56063	287
55721	97
149069	28
8668	5310
339483	507
84734	138
3932	2
3065	4025
65108	4470
100128071	75
81629	49
55108	3381
728116	0
653121	419
339487	561
5928	2291
81493	1809
57648	4110
8565	3389
64766	673
252995	36
3208	8
113452	2208
127544	900
204	2141
113451	140
55223	409
149076	1120
127550	8
1912	3788
100500853	4
101929464	0
7579	261
114784	680
127540	0
402779	0
84970	18
693137	0
2709	7
127534	4
2707	4
2701	0
113444	1459
58512	6
653160	57
100506144	757
9204	600
79830	278
6421	4903
9202	1655
79932	4870
23154	7375
339488	42
5690	3295
127703	2297
63967	147
192670	454
26523	1036
192669	624
27285	7
54936	1663
1296	11080
27095	2845
55700	14262
9967	5451
79729	152
55194	5798
83931	1347
84967	1344
127700	246
64960	1385
1441	0
2899	0
100422898	0
728431	168
80149	255
102465438	0
64769	1673
100847010	2
79753	583
7802	463
29889	1242
284654	4
54955	527
55143	68
284656	0
149175	153
79693	307
127687	3922
4520	605
3633	733
10946	2289
2275	963
51118	1116
5453	4
100500801	0
339442	0
64121	3627
100527950	0
26292	6
81025	0
54933	45
79647	2276
4725	4882
23499	9519
643314	608
105378950	0
353500	26
728448	141
8761	8513
101929516	3
677834	2
26508	6
84618	0
51440	0
10450	1197
656	27
64064	14
105378951	0
101929536	0
54802	421
4610	6
84879	23
10487	11986
5538	1986
6018	487
127391	0
10269	3533
1298	117
64744	1744
65243	60
339559	138
64789	279
127396	91
9783	61
100130557	16
4802	874
407034	0
407031	0
9132	38
163732	855
1503	1706
100507178	17
200172	25
22955	1210
100132074	102
1907	0
59269	149
2981	0
2980	2
22887	1236
284716	6
84217	49
79717	1336
728621	74
10465	374
4904	26058
149461	0
64175	3798
79078	455
100129924	7
374969	272
114625	1001
51058	437
339539	3
6513	12487
440584	61
105378684	12
440585	0
10969	1845
102465439	3
149465	18
128218	0
149466	0
7075	0
4352	6
991	76
64834	4205
102466723	0
112950	705
23334	1555
102465440	0
81888	2
5792	6833
9682	1617
100132774	16
6487	956
101929592	0
102464830	0
9048	6
9670	2780
1802	515
533	3789
8704	4978
149473	337
6536	454
128209	0
105378952	0
55929	1113
79033	1725
100874278	11
55182	1974
100847089	0
79639	475
339541	102
26828	0
26830	0
11004	77
6202	25016
26811	68
94161	6
94162	5
94163	11
266675	20
1263	1586
343521	53
149478	919
8643	156
8891	734
79654	3760
7389	4552
57643	362
400752	10
84842	40
4595	284
114034	216
10420	271
126661	44
25974	120
5052	41740
10327	4274
4678	1257
149483	22
60313	2224
728963	0
51249	700
3652	590
23139	3930
8503	1022
101929626	0
10103	29
55624	3692
541468	40
8438	110
10489	4657
7388	3977
387338	641
2166	121
729041	8
101929651	0
127343	0
100507423	11
148930	2
8569	551
148932	523
64756	2252
374973	0
100130197	0
9813	2875
1580	0
163720	0
1579	0
260293	0
199974	0
284541	0
100874253	6
10158	2
6886	0
6491	226
51727	4934
102724077	17
2301	4
84793	277
2306	924
388630	355
391037	0
200010	3
54558	236
84871	0
79656	36
101929721	0
100874313	0
1996	0
63950	0
11124	1427
1031	398
100616189	0
102466656	0
284546	0
26994	5092
22996	174
102724097	1
2060	1839
114883	2484
4898	5103
100313892	0
5865	2225
51060	1671
112970	0
104355143	0
91408	1215
9372	1279
200014	3067
4998	48
84950	452
23318	1266
105378722	2
2882	493
348378	1
65260	621
79699	1383
440590	0
55268	790
6342	3427
100616156	0
100616458	0
100616145	0
127435	3066
6512	33
1376	498
54987	1394
4116	685
100507564	14
7804	2539
163742	0
63948	0
148979	759
105369175	66
55706	447
54432	763
1733	1
51668	509
115353	1291
388633	0
9528	10874
127428	266
100616315	0
200008	4
606495	238
51253	3053
23648	1556
619518	10
26027	185
338094	4
374977	1
100527960	2
7268	21
25973	270
55001	0
163747	2
1718	25238
100126514	0
199964	2
7809	0
255738	2856
23358	1718
100507634	45
100616272	0
8613	11704
5563	354
199920	0
731	0
732	0
1600	0
101926890	0
115209	414
4070	6
114803	705
3725	10639
100131060	9
101926925	9
729467	0
55277	292
100616409	0
101926944	0
51361	0
1573	42
127795	0
101926964	0
100996570	17
4774	494
645030	0
414927	0
83941	1043
10207	524
100422902	0
100422946	0
54596	1
163782	0
7398	671
85440	1818
27329	0
84938	301
199899	0
100996301	0
27022	0
102464823	0
29929	180
23421	145
84455	313
79469	25
5236	3141
4919	498
101927034	14
148581	4
57685	405
100616338	0
55225	670
3716	5258
101927084	8
105378775	7
100500854	0
406893	0
205	1470
9829	664
54741	4683
3953	421
5142	227
101927139	0
84251	444
100422871	0
200132	2
10022	0
79819	146
57708	1366
23169	780
400757	0
149233	0
3595	1
26135	7270
1647	8586
55970	13882
100289178	30
9077	884
79971	4672
100302279	0
6121	0
55635	55
101927220	8
57554	10
5301	0
55631	341
9295	3932
81573	1172
11147	396
1491	156
101927244	6
5733	421
100132618	10
9406	1825
406962	6
100852410	11
257194	951
100852409	0
101927295	0
127255	14
100526835	0
8790	312
51086	0
105378804	0
105378803	0
127254	0
101927320	0
1429	1736
127253	693
431707	0
204962	24
34	863
1744	21
5876	1500
692085	1
26805	16
26804	8
4438	4
127247	0
101927342	0
256435	50
81849	470
102466995	0
10026	2154
26289	1932
26009	1602
23032	1747
374986	964
374987	13
91624	1295
8880	1164
11080	3082
54810	68
149047	4
5737	415
10964	972
10561	1288
64123	61
101927412	0
23266	1354
101927434	0
101927498	0
101927587	0
101927560	0
79739	736
5567	1842
148418	2
391051	0
58511	0
80135	812
2787	2149
100505741	25
1486	1329
103695366	0
439927	4
117178	721
23566	40
255231	1716
55283	1199
126820	748
100616481	0
84144	179
148423	668
8915	532
646626	6
23576	3078
3491	11979
54680	993
255631	313
57489	443
102465842	0
9635	81
1179	0
22802	0
9629	0
105378828	33
51100	3222
9403	5314
9653	1824
339524	2
101927844	0
105378832	0
8543	1152
100505768	0
101927891	5
5586	1571
2959	628
56267	773
494115	612
2635	483
2633	835
2634	3043
388646	2
115361	44
115362	0
729930	0
163351	46
400759	9
23507	75
84230	254
400761	12
55144	742
105378846	0
492303	44
284695	901
343472	0
84146	843
164045	2
8317	98
7049	3715
676	0
253152	115
646817	11
284697	46
23285	195
388649	0
11146	221
79871	222
2672	0
7813	708
6125	20427
388650	2622
6083	1
26782	2
22823	276
50999	2511
343099	97
100131564	362
1810	1760
54874	1454
100126520	0
8412	1730
100129046	3
100126348	0
100189133	4
30836	1565
2730	10579
24	36
9411	2500
5825	1475
2152	117
101928079	7
100616321	0
126969	148
1266	10847
105378862	14
729970	374
199857	343
101928098	0
148534	56
100527978	3
101928118	7
25950	158
440594	0
100996635	0
102723661	0
101928241	0
58155	279
1806	972
100873932	0
100873933	0
400765	49
100616452	1
406928	0
729987	6
51375	1105
163404	0
100129620	0
9890	26
101928270	0
54873	900
391059	350
178	1682
23443	1028
64645	2826
163786	85
54482	134
127495	52
